Fecha,Referencia,Unidades,Ventas
2017-01-01,Cerveza tercio,18.0,11.699999809265137
2017-01-01,Baguetes 2 unidades,34.0,33.320000648498535
2017-01-02,Aceite de oliva virgen extra 5 l,53.0,1184.5500202178955
2017-01-02,Bolsa naranjas 2Kg.,1118.0,1889.4200639724731
2017-01-02,Mandarina,1752.4689974933863,3356.279998868704
2017-01-02,Melo  OR,399.428998708725,728.4299988746643
2017-01-02,Baguetes 2 unidades,3572.0,3257.8399440050125
2017-01-02,Jamón reserva,48.515000108629465,870.6899989247322
2017-01-02,Cerveza tercio,1280.0,802.1500052213669
2017-01-02,Naranja en cajas,831.0500013232231,1470.3499999642372
2017-01-02,Pack de plátanos,1638.4599992157891,2605.2399966660887
2017-01-02,MERLUZA PALANGRE 1 - 2 Kg (1 Caja 10Q.),2.109999895095825,37.959999084472656
2017-01-02,Tomate jugoso al peso,613.6849995180964,1835.0500016361475
2017-01-03,Cerveza tercio,1483.0,927.3800059556961
2017-01-03,Filetes de salmón,99.46500004082918,2872.509999513626
2017-01-03,Aceite de oliva virgen extra 5 l,37.0,826.9500141143799
2017-01-03,Melo  OR,409.3390003442764,895.2000018954277
2017-01-03,Pack de plátanos,1277.9379987940192,2679.929997086525
2017-01-03,Sepia,94.73500020802021,1183.2699959278107
2017-01-03,Bolsa naranjas 2Kg.,1216.0,2055.040069580078
2017-01-03,Baguetes 2 unidades,3549.0,3239.2199457883835
2017-01-03,Mandarina,2142.7809979990125,4261.969998344779
2017-01-03,Naranja en cajas,905.0889996290207,1604.1400026381016
2017-01-03,MERLUZA PALANGRE 1 - 2 Kg (1 Caja 10Q.),354.71999979019165,6381.139992713928
2017-01-03,Jamón reserva,63.325000174343586,1136.559994339943
2017-01-03,Tomate jugoso al peso,632.563000138849,1891.5499972105026
2017-01-04,Bolsa naranjas 2Kg.,1276.0,2156.4400730133057
2017-01-04,Aceite de oliva virgen extra 5 l,39.0,920.4000148773193
2017-01-04,Naranja en cajas,1038.833999489434,1839.999997207895
2017-01-04,Cerveza tercio,1846.0,1156.0100107192993
2017-01-04,Mandarina,2336.892000325024,4649.549999371171
2017-01-04,Tomate jugoso al peso,749.5789984986186,2241.310001462698
2017-01-04,Pack de plátanos,1286.6389985512942,2711.2299965284765
2017-01-04,Filetes de salmón,93.66499987989664,2704.9199991226196
2017-01-04,Sepia,118.83999994397163,1484.2699942588806
2017-01-04,Baguetes 2 unidades,3401.0,3104.4199484586716
2017-01-04,Melo  OR,412.1710003018379,908.6100006103516
2017-01-04,MERLUZA PALANGRE 1 - 2 Kg (1 Caja 10Q.),328.5850006788969,5910.92999124527
2017-01-04,Jamón reserva,42.23000007495284,922.8299970626831
2017-01-05,Sepia,167.3049997985363,2089.60999250412
2017-01-05,Tomate jugoso al peso,1066.674000032246,3189.470000177622
2017-01-05,MERLUZA PALANGRE 1 - 2 Kg (1 Caja 10Q.),528.1400003731251,9501.070000648499
2017-01-05,Mandarina,3417.390999749303,6799.899994790554
2017-01-05,Aceite de oliva virgen extra 5 l,54.0,1274.4000263214111
2017-01-05,Cerveza tercio,2210.0,1380.0400104522705
2017-01-05,Naranja en cajas,1201.1439986182377,2127.369998684153
2017-01-05,Jamón reserva,58.16499982587993,1273.1399976611137
2017-01-05,Bolsa naranjas 2Kg.,1608.0,2717.520091533661
2017-01-05,Melo  OR,632.2769982814789,1394.8600001335144
2017-01-05,Baguetes 2 unidades,3748.0,3419.119944214821
2017-01-05,Filetes de salmón,89.35999999940395,2580.7099969387054
2017-01-05,Pack de plátanos,1582.4609991358593,3335.3999939952046
2017-01-06,Cerveza tercio,48.0,31.68000030517578
2017-01-06,Mandarina,1.9199999570846558,3.819999933242798
2017-01-06,Baguetes 2 unidades,50.0,49.000000953674316
2017-01-06,Bolsa naranjas 2Kg.,3.0,5.070000171661377
2017-01-07,Jamón reserva,71.32999971322715,1561.3500010371208
2017-01-07,Melo  OR,556.1830005645752,1246.0300042629242
2017-01-07,Bolsa naranjas 2Kg.,1963.0,3317.470111846924
2017-01-07,MERLUZA PALANGRE 1 - 2 Kg (1 Caja 10Q.),356.8199992775917,6001.029985427856
2017-01-07,Cerveza tercio,2522.0,1600.019997060299
2017-01-07,Mandarina,3748.15000205487,7458.090009227395
2017-01-07,Naranja en cajas,1538.0449996888638,2722.0999999046326
2017-01-07,Aceite de oliva virgen extra 5 l,52.0,1227.200023651123
2017-01-07,Pack de plátanos,1888.932997991331,3981.7099977675825
2017-01-07,Filetes de salmón,88.9299999922514,2338.659995317459
2017-01-07,Baguetes 2 unidades,4342.0,3964.9199382066727
2017-01-07,Tomate jugoso al peso,1105.0139983184636,3304.209999099374
2017-01-07,Sepia,175.74999964237213,2105.399993300438
2017-01-08,Naranja en cajas,21.250000029802322,37.97999984025955
2017-01-08,Mandarina,38.96500012278557,77.52000015974045
2017-01-08,Baguetes 2 unidades,346.0,317.63999569416046
2017-01-08,Tomate jugoso al peso,9.860000014305115,29.490000158548355
2017-01-08,Cerveza tercio,60.0,37.859999656677246
2017-01-08,Bolsa naranjas 2Kg.,16.0,27.040000915527344
2017-01-08,Pack de plátanos,31.054999858140945,66.78000044822693
2017-01-08,Aceite de oliva virgen extra 5 l,1.0,23.600000381469727
2017-01-08,Jamón reserva,0.07500000298023224,1.6399999856948853
2017-01-08,Melo  OR,8.22000002861023,17.920000314712524
2017-01-09,Bolsa naranjas 2Kg.,1407.0,2377.8300800323486
2017-01-09,Jamón reserva,39.154999865219,857.149996817112
2017-01-09,Baguetes 2 unidades,4739.0,4313.739921927452
